scheme_code,completion_date,scheme_name,estimated_cost,estimated_material,expenditure_wage,expenditure_material,sanctiondate,wage_expense,semiskilled_expense,skilled_expense,material_expense,contingency_expense,total_expense,mandays
3214003009/LD/321002040795291,12-12-2019,LAND LEVELING OF GANESH DEB SHARMA ,188460,8170,75240,2430,22-02-2018,75240,0,2430,0,0  ,77670,
3214003009/IF/IAY/3744364,06-08-2020,Construction of PMAY-G House for Individuals -PMAY-G  REG. NO. WB2088074 ,19380,0,19380,0,26-02-2020,19380,0,0,0,0  ,19380,
3214003009/IF/22012034610649,19-05-2020,Excavation of Bimala Mudi Happa ,189663,8444,191429,7227,20-09-2018,191429,0,4727,2500,0  ,198656,
3214003009/IF/22012034612236,28-09-2020,Excavation of Harimati Murmu Happa ,189663,8444,192261,3933,20-09-2018,192261,0,1433,2500,0  ,196194,
3214003009/IF/IAY/3744347,21-09-2020,Construction of PMAY-G House for Individuals -PMAY-G  REG. NO. WB2280483 ,19380,0,19380,0,26-02-2020,19380,0,0,0,0  ,19380,
3214003009/LD/321002040794744,05-07-2019,LAND LEVELING OF SUFAL CH MAHATO ,93420,5200,72180,2160,22-02-2018,72180,0,2160,0,0  ,74340,
3214003009/DP/22012034366508,04-10-2018," clean environment at school campus schemes(compose pit,sock pit,brick solling pavement,land levelli ",157680,42874,103960,1500,27-04-2017,103960,0,0,1500,0  ,105460,
3214003009/LD/321002040795289,12-12-2019,LAND LEVELING OF NITAI MAHATO ,188460,8170,107640,3240,22-02-2018,107640,0,3240,0,0  ,110880,
3214003009/IF/IAY/3744340,20-07-2020,Construction of PMAY-G House for Individuals -PMAY-G  REG. NO. WB4353912 ,19380,0,19380,0,07-04-2020,19380,0,0,0,0  ,19380,
3214003009/IF/IAY/3368651,28-07-2020,Construction of PMAY-G House for Individuals -PMAY-G  REG. NO. WB1211750 ,19380,0,19380,0,26-02-2020,19380,0,0,0,0  ,19380,
3214003009/IF/IAY/3744341,24-09-2020,Construction of PMAY-G House for Individuals -PMAY-G  REG. NO. WB2775629 ,19380,0,19176,0,20-03-2020,19176,0,0,0,0  ,19176,
3214003009/IF/22012034550266,20-05-2020,EXCAVATION  OF DHARMADAS HEMBRAM HAPPA AT MANGURIA VII ,190260,8170,162360,6860,09-10-2017,162360,0,4860,2000,0  ,169220,
3214003009/IF/IAY/3368648,16-08-2020,Construction of PMAY-G House for Individuals -PMAY-G  REG. NO. WB1344883 ,19380,0,19380,0,26-02-2020,19380,0,0,0,0  ,19380,
3214003009/IF/IAY/3368647,07-07-2020,Construction of PMAY-G House for Individuals -PMAY-G  REG. NO. WB4259889 ,18145,0,19380,0,26-02-2020,19380,0,0,0,0  ,19380,
3214003009/IF/IAY/3368649,28-07-2020,Construction of PMAY-G House for Individuals -PMAY-G  REG. NO. WB4482523 ,19380,0,19380,0,26-02-2020,19380,0,0,0,0  ,19380,
3214003009/DP/22012034367141,04-10-2018," clean environment at SSK campus schemes(compose pit,sock pit,brick solling pavement,land levelling, ",157680,42874,110328,1500,27-04-2017,110328,0,0,1500,0  ,111828,
3214003009/IF/IAY/3368642,28-07-2020,Construction of PMAY-G House for Individuals -PMAY-G  REG. NO. WB5114015 ,19380,0,19380,0,26-02-2020,19380,0,0,0,0  ,19380,
3214003009/IF/IAY/3368643,21-09-2020,Construction of PMAY-G House for Individuals -PMAY-G  REG. NO. WB4858161 ,19380,0,19380,0,26-02-2020,19380,0,0,0,0  ,19380,
3214003009/IF/IAY/3368645,22-07-2020,Construction of PMAY-G House for Individuals -PMAY-G  REG. NO. WB3855977 ,19380,0,19380,0,26-02-2020,19380,0,0,0,0  ,19380,
3214003009/DP/22012034366496,04-10-2018," clean environment at school campus schemes(compose pit,sock pit,brick solling pavement,land levelli ",157680,42874,2160,1500,27-04-2017,2160,0,0,1500,0  ,3660,
3214003009/DP/22012034366440,04-10-2018," clean environment at school campus schemes(compose pit,sock pit,brick solling pavement,land levelli ",157680,42874,134952,19903,27-04-2017,134952,0,0,19903,0  ,154855,
3214003009/DP/22012034366503,04-10-2018," clean environment at school campus schemes(compose pit,sock pit,brick solling pavement,land levelli ",157680,42874,44608,1500,27-04-2017,44608,0,0,1500,0  ,46108,
3214003009/DP/22012034366439,04-10-2018," clean environment at school campus schemes(compose pit,sock pit,brick solling pavement,land levelli ",157680,42874,169134,19903,27-04-2017,169134,0,0,19903,0  ,189037,
3214003009/DP/22012034366421,04-10-2018," clean environment at school campus schemes(compose pit,sock pit,brick solling pavement,land levelli ",157680,42874,67096,10677,27-04-2017,67096,0,0,10677,0  ,77773,
3214003009/DP/22012034366418,04-10-2018," clean environment at school campus schemes(compose pit,sock pit,brick solling pavement,land levelli ",157680,42874,0,1500,27-04-2017,0,0,0,1500,0  ,1500,
