scheme_code,scheme_name,completion_date,estimated_cost,estimated_material,expenditure_wage,expenditure_material,sanctiondate,wage_expense,semiskilled_expense,skilled_expense,material_expense,contingency_expense,total_expense,mandays
3213010005/IF/IAY/3367713,Construction of PMAY-G House for Individuals -PMAY-G  REG. NO. WB5256789 ,03-11-2020,18145,0,18145,0,26-02-2020,18145,0,0,0,0  ,18145,
3213010005/IF/IAY/3367704,Construction of PMAY-G House for Individuals -PMAY-G  REG. NO. WB4966060 ,02-02-2021,18145,0,18145,0,26-02-2020,18145,0,0,0,0  ,18145,
3213010005/IF/IAY/3367708,Construction of PMAY-G House for Individuals -PMAY-G  REG. NO. WB5371803 ,13-11-2020,18145,0,18145,0,26-02-2020,18145,0,0,0,0  ,18145,
3213010005/IF/IAY/3716681,Construction of PMAY-G House for Individuals -PMAY-G  REG. NO. WB5204121 ,03-11-2020,19380,0,19380,0,26-02-2020,19380,0,0,0,0  ,19380,
3213010005/IF/IAY/3367717,Construction of PMAY-G House for Individuals -PMAY-G  REG. NO. WB4681315 ,29-10-2020,18145,0,18145,0,26-02-2020,18145,0,0,0,0  ,18145,
3213010005/IF/IAY/3367699,Construction of PMAY-G House for Individuals -PMAY-G  REG. NO. WB5285954 ,13-11-2020,18145,0,18145,0,26-02-2020,18145,0,0,0,0  ,18145,
3213010005/IF/IAY/3367700,Construction of PMAY-G House for Individuals -PMAY-G  REG. NO. WB5417884 ,08-01-2021,18145,0,18145,0,26-02-2020,18145,0,0,0,0  ,18145,
3213010005/IF/IAY/3716675,Construction of PMAY-G House for Individuals -PMAY-G  REG. NO. WB5013361 ,02-02-2021,19380,0,19380,0,26-02-2020,19380,0,0,0,0  ,19380,
3213010005/IF/IAY/3367702,Construction of PMAY-G House for Individuals -PMAY-G  REG. NO. WB5195619 ,02-02-2021,18145,0,18145,0,26-02-2020,18145,0,0,0,0  ,18145,
3213010005/IF/IAY/3367691,Construction of PMAY-G House for Individuals -PMAY-G  REG. NO. WB2329191 ,29-10-2020,18145,0,18145,0,26-02-2020,18145,0,0,0,0  ,18145,
